twist_angle(°)   AA_num   AA_area(A^2)           AB_num   AB_area(A^2)
                 0.12       9010       84049.00824731795       0       0.0       
                 0.24       2199       20513.181924067943       6509       60718.64535868952       
                 0.36       952       8880.649928018502       5794       54048.82949888571       
                 0.48       3121       29113.979438388382       5273       49188.72591432936       
                 0.6       2391       22304.23737173554       4212       39291.2788832079       
                 0.72       2787       25998.28923254996       5336       49776.41598309529       
                 0.84       2355       21968.41447529787       4336       40448.0021931599       
                 0.96       2393       22322.89419931541       5322       49645.818190036196       
                 1.08       2205       20569.152406807556       4559       42528.23846831549       
                 
