twist_angle(°)   AA_num   AA_area(A^2)           AB_num   AB_area(A^2)
                 0.12       9010       84049.00824731795       0       0.0       
                 0.24       2199       20513.181924067943       6509       60718.64535868952       
                 0.36       952       8880.649928018502       5794       54048.82949888571       
                 0.48       3121       29113.979438388382       5273       49188.72591432936       
                 0.6       2391       22304.23737173554       4212       39291.2788832079       
                 0.72       2787       25998.28923254996       5336       49776.41598309529       
                 0.84       2355       21968.41447529787       4336       40448.0021931599       
                 0.96       2393       22322.89419931541       5322       49645.818190036196       
                 1.08       2205       20569.152406807556       4559       42528.23846831549       
                  1.2       2509       23404.99019894792       4691       43759.58908858696       
                 1.32       2295       21408.709647901742       4469       41688.6812272213       
                 1.44       2325       21688.562061599805       4472       41716.66646859111       
                 1.56       2255       21035.573096304328       4509       42061.81777881872       
                 1.68       2120       19776.237234663047       4331       40401.360124210216       
                 1.8       2272       21194.15613073323       4382       40877.10922749692       
                 1.92       2096       19552.355303704597       4071       37975.972538827016       
                 2.04       2188       20410.569372378653       4373       40793.153503387504       
                 2.16       2032       18955.336821148732       3944       36791.26398750522       
                 2.28       2185       20382.58413100885       4170       38899.48550403062       
                 2.4       1947       18162.421649004224       3920       36567.38205654677       
                 2.52       2057       19188.54716589712       4036       37649.47805617927       
                 2.64       1861       17360.17806306978       3900       36380.81378074806       
                 2.76       1989       18554.215028181512       3842       35839.765780931804       
                 2.88       1987       18535.55820060164       3762       35093.49267773698       
                 3.0       1874       17481.44744233894       3701       34524.45943655092       
                 3.12       1897       17696.000959507455       3677       34300.57750559247       
                 3.24       1792       16716.517511564238       3538       33003.927988791445       
                 3.36       1814       16921.742614942817       3610       33675.5737816668       
                 3.48       1499       13983.292271113165       3270       30503.91309308876       
                 3.6       1795       16744.502752934044       3532       32947.95750605183       
                 3.72       1660       15485.166891292763       3328       31044.96109290501       
                 3.84       1753       16352.709373756756       3374       31474.06812724204       
                 3.96       1638       15279.941787914186       3208       29925.551438112765       
                 4.08       1666       15541.137374032376       3240       30224.060679390695       
                 4.2       1577       14710.908546728126       3176       29627.04219683483       
                 4.32       1570       14645.609650198578       3127       29169.949921127994       
                 4.44       1588       14813.521098417415       3058       28526.289369622453       
                 4.56       1448       13507.54316782646       3051       28460.990473092905       
                 4.68       1520       14179.188960701807       3004       28022.555024965943       
                 4.8       1446       13488.886340246589       2871       26781.875990904533       
                 4.92       1499       13983.292271113165       2907       27117.69888734221       
                 5.04       1363       12714.62799568195       2783       25960.975577390218       
                 5.16       1418       13227.690754128398       2816       26268.813232458087       
                 5.28       1361       12695.97116810208       2628       24515.071439950232       
                 5.4       1372       12798.58371979137       2683       25028.134198396678       
                 5.52       1311       12229.55047860531       2549       23778.126750545336       
                 5.64       1313       12248.20730618518       2593       24188.57695730249       
                 5.76       1297       12098.952685546214       2509       23404.99019894792       
                 5.88       1271       11856.413927007894       2443       22789.314888812183       
                 6.0       1700       15858.30344289018       2170       20242.65792415982       
                 6.12       1189       11091.48399623319       2380       22201.62482004625       
                 6.24       1195       11147.454478972802       2364       22052.370199407287       
                 6.36       1138       10615.734892946486       2249       20979.602613564715       
                 6.48       1070       9981.402755230878       2296       21418.038061691677       
                 6.6       1184       11044.841927283514       2059       19207.20399347699       
                 6.72       1099       10251.926755139004       2174       20279.97157931956       
                 6.84       1003       9356.399031305205       2419       22565.432957853733       
