theta    m1    n1    m2    n2    point_distance
13.5591894706      7      6      9      3    0.0091580175
 7.9024730750      9      5     10      3    0.0055088227
 2.4883067896     14      5     14      4    0.0050938480
 2.2914322948     14      6     14      5    0.0029709091
10.1490677959     15      7     17      3    0.0018497656
 1.0023138875     16     10     15     10    0.0096798028
21.1993276853     17      2     11      9    0.0093720748
 6.0211491697     17      2     15      4    0.0093720748
 3.2186618308     18     11     16     12    0.0046003315
 8.8761013913     18     14     21      9    0.0093648193
 7.9024730750     19      4     16      7    0.0095415609
 7.4277251342     19     12     15     15    0.0039191161
20.5233861991     21     13     28      1    0.0033115726
 6.7823198297     21     20     24     15    0.0056101169
 4.5015871788     23      0     21      2    0.0073264333
15.4337284049     23      3     17     10    0.0056705316
 0.2555498893     23      3     22      3    0.0056705316
18.8079191926     23     14     30      2    0.0035455548
20.7390348829     23     20     33      5    0.0010954740
 2.4883067896     24      9     22     10    0.0088228036
 3.8779229078     24     15     25     12    0.0018452260
 2.8740854350     24     24     25     21    0.0051502766
12.3040930805     24     24     31     14    0.0051502766
10.2273894551     25     20     30     12    0.0090109072
15.5195972000     26      4     19     12    0.0031653350
 2.2914322948     26      8     24      9    0.0051457656
 1.8147440992     27     18     27     16    0.0041724647
12.8074768826     27     18     33      8    0.0041724647
20.4036276451     28      2     19     13    0.0086921094
10.9736199996     28      2     23      8    0.0086921094
 2.3878663767     28     11     28      9    0.0040943623
 2.2914322948     28     12     28     10    0.0059418183
23.9622409672     28     27     43      5    0.0098261135
15.5861522164     29      5     21     14    0.0044544708
 6.9729142651     29      5     25      9    0.0044544708
 6.2006364756     29      5     30      1    0.0044544708
10.1490677959     29      8     23     14    0.0032038881
 0.2555498893     29     20     28     19    0.0098216489
15.4337284049     29     20     37      7    0.0098216489
18.7655096354     29     21     39      5    0.0084451481
 3.5822838551     30     10     27     12    0.0012510685
 9.5912668856     30     10     33      3    0.0012510685
10.1490677959     30     14     34      6    0.0036995313
 3.7119881290     30     23     26     25    0.0057249891
27.4148967470     30     29     48      2    0.0061156547
 0.4074267918     31     17     30     16    0.0099419359
21.9153331181     31     29     46      7    0.0017266158
15.6391922902     32      6     23     16    0.0083851369
 4.8035537062     32     12     28     15    0.0028509934
 2.2914322948     32     22     29     23    0.0078602868
19.4953563972     32     22     43      4    0.0078602868
 6.3072305507     32     29     36     22    0.0076947668
 3.2796738665     33      9     30     11    0.0091126151
 4.9759465128     33      9     34      5    0.0091126151
11.1093036377     33     30     41     18    0.0009931046
17.9452656313     33     30     46     11    0.0009931046
