theta	m1	n1	m2	n2	point_distance
0.000638453	297	272	285	261	0.001309622
0.000915117	297	173	285	166	0.001193586
0.001341221	297	74	285	71	0.001294939
0.001905551	272	25	261	24	0.002799088
0.002965108	173	25	166	24	0.001948238
0.003741581	248	222	238	213	0.001627728
0.004256781	296	273	284	262	0.001847966
0.00650365	74	25	71	24	0.003794361
0.008047237	298	147	286	141	0.000914578
0.008500574	199	172	191	165	0.003146598
0.009082682	174	98	167	94	0.004506522
0.009152924	295	274	283	263	0.004450654
0.009664141	249	221	239	212	0.0032018
0.010349275	123	75	118	72	0.003421677
0.011118926	295	200	283	192	0.003336047
0.011627322	172	125	165	120	0.000437003
0.012656272	274	171	263	164	0.001590073
0.015535194	270	151	259	145	0.000182834
0.015996647	200	171	192	164	0.00339474
0.016715377	150	122	144	117	0.001701294
0.017434934	295	77	283	74	0.001118887
0.018244099	269	226	258	217	0.004278001
0.019266006	220	176	211	169	0.002690993
0.020116869	147	76	141	73	0.001110514
0.021328002	221	52	212	50	0.001401562
0.022068584	295	28	283	27	0.001722315
0.022595445	299	46	287	44	0.003128447
0.023117493	275	120	264	115	0.004403015
0.023546757	251	194	241	186	0.002727802
0.023863201	268	227	257	218	0.001061771
0.02567396	275	95	264	91	0.002923055
0.026262817	201	145	193	139	0.001094089
0.026864436	195	127	187	122	0.004748258
0.027814274	171	77	164	74	0.001518636
0.029484577	147	27	141	26	0.00217899
0.030488704	243	178	233	171	0.003767752
0.031128283	151	96	145	92	0.002614362
0.031907007	219	128	210	123	0.004290168
0.032737215	291	229	279	220	0.000182326
0.033205003	201	95	193	91	0.002671849
0.034217106	267	179	256	172	0.001973722
0.034678933	251	94	241	90	0.004727438
0.035262346	244	79	234	76	0.000628309
0.036902865	292	130	280	125	0.001465154
0.037532692	291	180	279	173	0.003687157
0.038078115	250	20	240	19	0.00394242
0.038757736	300	19	288	18	0.000319136
0.046112911	269	6	258	6	0.003417583
0.046622017	280	214	269	205	0.004211514
0.04722644	279	165	268	158	0.000830225
0.047930663	170	54	163	52	0.00273926
0.048756995	291	107	279	103	0.004385714
0.049032727	281	238	270	228	0.000704792
0.049839531	121	53	116	51	0.002286552
0.051231997	282	262	271	251	0.000402411
0.05190204	229	141	220	135	0.001648029
0.053238299	286	283	274	272	0.002890906
0.054344173	289	158	277	152	0.000391124
0.054742376	230	165	221	158	0.004027506
0.055448493	178	93	171	89	0.00042027
0.057264377	126	21	121	20	0.000905026
0.058136593	285	284	273	273	0.000059105
0.058394269	264	158	253	152	0.004120669
0.058943515	179	117	172	112	0.001429956
0.059501116	232	213	223	204	0.002598175
0.06192335	180	141	173	135	0.002598786
0.062994196	239	158	229	152	0.004178589
0.063034409	285	284	274	272	0.003564442
0.106858948	214	62	205	60	0.000099558
0.197168558	274	105	262	102	5.18813E-05
0.296470895	249	38	238	38	8.41024E-05
0.337705139	279	210	270	199	6.70019E-05
0.365314712	222	169	215	160	9.23789E-05
0.385505571	197	40	188	40	3.61014E-05
0.425743832	141	87	134	85	9.21515E-05
0.497105326	270	185	256	181	7.74758E-05
0.635106935	273	185	258	182	6.01839E-05
0.651939971	265	127	251	126	2.66223E-05
0.82505981	219	196	215	183	9.75724E-05
0.875783347	223	127	218	117	9.70309E-05
0.909460521	231	19	224	14	8.53063E-05
0.941210892	216	125	203	125	5.11236E-05
0.951834912	271	191	254	190	8.84769E-05
1.000953824	283	90	276	80	3.50147E-05
1.092623831	295	230	291	212	0.000002569
1.116755118	198	177	184	176	0.000082246
1.173006012	270	175	252	176	4.23321E-05
1.499138663	117	53	109	55	0.000037335
1.505046234	265	218	244	220	8.41759E-05
1.580945678	181	151	181	137	6.60602E-05
1.641806726	147	147	148	134	0.000062134
1.707199402	123	121	124	110	4.45063E-05
1.725792083	267	79	249	86	2.73421E-05
1.775965814	246	199	247	179	0.000069267
1.782630826	178	48	166	53	9.46432E-05
1.828781867	212	111	211	97	8.85828E-05
1.872040165	260	18	244	27	7.89156E-05
1.898670679	145	62	144	53	5.19997E-05
2.062305274	278	97	276	80	3.50147E-05
2.147029076	110	77	100	80	4.08067E-05
2.151114147	285	67	282	51	4.10624E-05
2.169053528	160	53	159	43	2.54076E-05
2.17011959	223	107	223	91	0.000016981
2.183307322	163	44	151	50	4.7617E-06
2.186168356	88	36	81	39	0.000062505
2.265847889	213	185	217	164	4.06962E-05
2.349492308	201	170	205	150	4.51727E-05
2.418407686	183	177	188	157	0.000049166
2.467948074	181	151	162	157	6.60602E-05
2.472014358	207	201	213	178	3.93226E-05
2.497659221	277	80	255	92	7.14973E-05
2.619959658	284	189	289	162	5.86393E-05
2.721843871	277	80	277	60	7.14973E-05
2.819999777	242	153	217	164	4.06962E-05
2.955072828	189	131	194	111	2.16199E-05
2.98485327	106	9	98	15	8.93313E-05
3.019346434	239	155	213	167	5.20422E-05
3.04279839	214	62	215	45	0.000099558
3.065577898	229	129	205	141	2.73421E-05
3.14515804	199	54	200	38	1.10627E-05
3.230620057	141	75	126	83	5.4069E-06
3.252760511	182	42	166	53	9.46432E-05
3.261400125	197	40	180	52	3.61014E-05
3.309424601	48	7	44	10	8.25359E-05
3.347210051	205	27	188	40	3.61014E-05
3.402949087	195	149	203	125	5.11236E-05
3.432863168	166	113	146	123	3.33107E-05
3.521031416	102	27	103	18	0.000018583
3.590955329	151	63	135	73	1.04486E-05
3.605341937	120	99	126	83	5.4069E-06
3.617290765	290	37	265	57	6.49512E-05
3.66490967	291	231	252	250	8.42215E-05
3.673817804	163	44	165	29	4.7617E-06
3.759939186	232	116	239	90	7.03508E-05
3.810441281	219	22	200	38	1.10627E-05
3.933177768	224	198	238	165	1.34203E-05
4.165943606	191	138	164	153	4.96358E-05
4.195834773	199	54	178	70	1.10627E-05
4.270184944	197	138	169	154	0.000016981
4.338302773	245	123	255	92	7.14973E-05
4.432472925	58	12	59	6	4.54084E-05
4.435724853	185	141	197	113	9.91212E-05
4.497508104	219	207	237	170	9.45923E-05
4.503936796	265	218	284	176	8.41759E-05
4.509289992	264	12	240	35	8.58266E-05
4.522201223	184	91	192	67	2.93983E-05
4.549471073	273	13	248	37	1.12058E-05
4.581961446	240	77	247	49	6.77447E-05
4.675504348	154	59	135	73	1.04486E-05
4.684000687	273	185	232	210	6.01839E-05
4.763888022	135	51	140	34	0.000074622
4.795747192	194	189	212	154	1.66819E-05
4.935562837	199	8	180	27	4.18282E-05
4.988250237	260	238	284	191	3.54724E-05
5.105222669	281	58	249	86	2.73421E-05
5.165915285	224	198	245	157	1.34203E-05
5.186432188	139	22	142	6	7.07332E-05
5.205012268	272	112	235	140	8.09778E-05
5.25119313	272	141	288	100	6.3705E-06
5.375648261	132	41	115	55	9.12889E-05
5.397164647	251	174	271	131	8.39016E-05
5.411298851	239	155	257	115	5.20422E-05
5.587515949	276	25	246	55	0.000079058
5.635594762	224	137	241	99	1.19453E-05
5.645197553	114	61	96	74	0.000044473
5.671277892	285	48	293	12	0.000049166
5.766614756	297	90	257	124	1.48979E-05
5.972876309	174	164	195	127	6.44353E-05
6.027058559	239	96	203	125	5.11236E-05
6.031248386	249	231	279	178	9.05902E-05
6.059597275	250	84	263	46	1.41338E-05
6.112614897	209	70	220	38	9.35724E-05
6.180383345	133	77	144	53	5.19997E-05
6.20737771	227	58	196	86	1.5659E-06
6.223104605	205	27	180	52	3.61014E-05
6.236516917	282	75	243	110	8.59285E-05
6.246466475	252	128	271	84	0.000013678
6.317643054	224	137	244	95	1.19453E-05
6.363751896	191	36	166	60	4.45063E-05
6.429930629	163	44	171	19	4.7617E-06
6.479034323	266	126	286	79	2.46447E-05
6.529828296	229	129	249	86	2.73421E-05
6.61463857	124	101	139	74	5.46082E-05
6.743620112	163	44	139	66	4.7617E-06
6.785877338	220	206	251	154	4.46251E-05
6.883798069	189	131	210	91	2.16199E-05
6.898512155	99	43	82	57	5.90084E-05
7.019586072	98	15	102	0	2.41934E-05
7.117780187	188	139	211	97	8.85828E-05
7.142998571	192	26	166	53	9.46432E-05
7.146492182	176	169	203	125	5.11236E-05
7.15729702	174	111	193	74	8.67372E-05
7.260954118	183	17	159	43	2.54076E-05
7.291764462	132	29	139	7	1.84026E-05
7.514119308	194	189	226	138	1.66819E-05
7.635439404	226	70	188	105	6.49792E-05
7.640285133	183	139	208	95	1.12058E-05
7.705807325	249	227	289	162	5.86393E-05
7.772913551	58	12	49	21	4.54084E-05
7.836308485	197	138	223	91	0.000016981
7.838787584	254	181	288	120	4.25217E-05
7.850665462	248	132	197	173	0.000095501
7.97024928	125	30	133	7	4.16719E-05
7.987118553	139	22	118	44	7.07332E-05
7.994048311	258	136	286	79	2.46447E-05
8.028823615	286	172	223	221	7.55618E-05
8.192290353	163	44	135	71	4.7617E-06
8.353763267	276	73	296	19	1.83849E-05
8.477437512	259	141	290	80	0.000069538
8.660701228	241	87	194	130	4.93686E-05
8.730691745	125	30	103	52	4.16719E-05
8.815051188	242	153	276	91	4.06962E-05
8.860422641	232	42	193	83	5.24723E-05
